D21,,,,
BookingReference,Created Date,Reference,Attendee Status,Attended
B1017409,14/10/2021,A1085744,Attending,
B1017760,15/10/2021,A1086095,Attending,
B1018783,18/10/2021,A1087121,Attending,
B1018808,18/10/2021,A1087146,Attending,
B1019659,19/10/2021,A1087999,Attending,Yes
B1019904,19/10/2021,A1088244,Attending,
B1020283,20/10/2021,A1088623,Attending,
B1020514,20/10/2021,A1088854,Attending,Yes
B1020665,20/10/2021,A1089005,Attending,Yes
B1020684,20/10/2021,A1089024,Attending,
B1020715,20/10/2021,A1089055,Attending,
B1020744,20/10/2021,A1089084,Attending,
B1020962,21/10/2021,A1089302,Attending,
B1021131,21/10/2021,A1089471,Attending,
B1021203,21/10/2021,A1089543,Attending,
B1021431,22/10/2021,A1089771,Attending,
B1021520,22/10/2021,A1089860,Attending,Yes
B1022316,25/10/2021,A1090660,Attending,
B1022404,25/10/2021,A1090751,Attending,Yes
B1022457,25/10/2021,A1090806,Attending,
B1022634,25/10/2021,A1090991,Attending,
B1022638,25/10/2021,A1090995,Attending,
B1022642,25/10/2021,A1090999,Attending,
B1022645,25/10/2021,A1091002,Attending,
B1023225,26/10/2021,A1091586,Attending,
B1023318,26/10/2021,A1091679,Attending,
B1023727,27/10/2021,A1092088,Attending,
B1023737,27/10/2021,A1092098,Attending,Yes
B1023750,27/10/2021,A1092111,Attending,
B1023761,27/10/2021,A1092122,Attending,
B1023762,27/10/2021,A1092123,Attending,Yes
B1023769,27/10/2021,A1092130,Attending,
B1023780,27/10/2021,A1092141,Attending,Yes
B1023801,27/10/2021,A1092162,Attending,
B1023809,27/10/2021,A1092170,Attending,
B1023818,27/10/2021,A1092179,Attending,
B1023842,27/10/2021,A1092203,Attending,
B1023868,27/10/2021,A1092229,Attending,Yes
B1023884,27/10/2021,A1092245,Attending,
B1023970,27/10/2021,A1092331,Attending,Yes
B1024286,28/10/2021,A1092647,Attending,Yes
B1024289,28/10/2021,A1092650,Attending,Yes
B1024293,28/10/2021,A1092654,Attending,Yes
B1024297,28/10/2021,A1092658,Attending,
B1024298,28/10/2021,A1092659,Attending,
B1024299,28/10/2021,A1092660,Attending,
B1024301,28/10/2021,A1092662,Attending,
B1024302,28/10/2021,A1092663,Attending,Yes
B1024303,28/10/2021,A1092664,Attending,
B1024357,28/10/2021,A1092718,Attending,
B1024412,28/10/2021,A1092773,Attending,
B1024465,28/10/2021,A1092826,Attending,Yes
B1024557,28/10/2021,A1092918,Attending,
B1024715,29/10/2021,A1093076,Attending,
B1024871,29/10/2021,A1093232,Attending,Yes
B1024899,29/10/2021,A1093260,Attending,
B1025336,31/10/2021,A1093697,Attending,
B1025683,01/11/2021,A1094044,Attending,Yes
B1025684,01/11/2021,A1094045,Attending,Yes
B1025686,01/11/2021,A1094047,Attending,
B1025695,01/11/2021,A1094056,Attending,Yes
B1026352,02/11/2021,A1094715,Attending,Yes
B1026598,03/11/2021,A1094962,Attending,Yes
B1026670,03/11/2021,A1095034,Attending,
B1026929,03/11/2021,A1095304,Attending,
B1026933,03/11/2021,A1095308,Attending,
B1026935,03/11/2021,A1095310,Attending,
B1026936,03/11/2021,A1095311,Attending,
B1027165,04/11/2021,A1095570,Attending,Yes
B1027305,04/11/2021,A1095728,Attending,Yes
B1028039,05/11/2021,A1096507,Attending,Yes
B1028050,05/11/2021,A1096518,Attending,
B1028068,05/11/2021,A1096540,Attending,
B1028086,05/11/2021,A1096558,Attending,Yes
B1028087,05/11/2021,A1096559,Attending,
B1028100,05/11/2021,A1096572,Attending,Yes
B1028115,05/11/2021,A1096587,Attending,
B1028135,05/11/2021,A1096607,Attending,
B1028157,05/11/2021,A1096629,Attending,
B1028860,08/11/2021,A1097365,Attending,Yes
B1029176,08/11/2021,A1097694,Attending,Yes
B1029176,08/11/2021,A1097695,Attending,Yes
B1029176,08/11/2021,A1097696,Attending,
B1029458,09/11/2021,A1097991,Attending,
B1029551,09/11/2021,A1098085,Attending,
B1029570,09/11/2021,A1098104,Attending,
B1029573,09/11/2021,A1098107,Attending,Yes
B1029588,09/11/2021,A1098126,Attending,
B1029608,09/11/2021,A1098146,Attending,
B1029636,09/11/2021,A1098174,Attending,
B1029669,09/11/2021,A1098207,Attending,Yes
B1029669,09/11/2021,A1098208,Attending,Yes
B1029669,09/11/2021,A1098209,Attending,Yes
B1029669,09/11/2021,A1098210,Attending,Yes
B1029683,09/11/2021,A1098224,Attending,
B1029805,09/11/2021,A1098353,Attending,
B1029969,10/11/2021,A1098522,Attending,Yes
B1029997,10/11/2021,A1098552,Attending,Yes
B1029997,10/11/2021,A1098553,Attending,Yes
B1029998,10/11/2021,A1098554,Attending,
B1030010,10/11/2021,A1098568,Attending,Yes
B1030164,10/11/2021,A1098727,Attending,
B1030165,10/11/2021,A1098728,Attending,Yes
B1030167,10/11/2021,A1098730,Attending,
B1030196,10/11/2021,A1098759,Attending,Yes
B1030197,10/11/2021,A1098760,Attending,
B1030199,10/11/2021,A1098762,Attending,Yes
B1030201,10/11/2021,A1098764,Attending,Yes
B1030203,10/11/2021,A1098766,Attending,Yes
B1030208,10/11/2021,A1098773,Attending,Yes
B1030213,10/11/2021,A1098778,Attending,
B1030249,10/11/2021,A1098816,Attending,Yes
B1030294,10/11/2021,A1098863,Attending,Yes
B1030344,10/11/2021,A1098913,Attending,Yes
B1030344,10/11/2021,A1098914,Attending,Yes
B1030378,10/11/2021,A1098948,Attending,
B1030533,11/11/2021,A1099109,Attending,
B1030619,11/11/2021,A1099197,Attending,
B1030624,11/11/2021,A1099202,Attending,
B1030638,11/11/2021,A1099216,Attending,Yes
B1030664,11/11/2021,A1099243,Attending,
B1030667,11/11/2021,A1099246,Attending,Yes
B1030670,11/11/2021,A1099249,Attending,
B1030672,11/11/2021,A1099251,Attending,
B1030676,11/11/2021,A1099255,Attending,
B1030679,11/11/2021,A1099258,Attending,Yes
B1030680,11/11/2021,A1099259,Attending,
B1030682,11/11/2021,A1099261,Attending,Yes
B1030692,11/11/2021,A1099273,Attending,
B1030695,11/11/2021,A1099276,Attending,Yes
B1030701,11/11/2021,A1099282,Attending,Yes
B1030705,11/11/2021,A1099286,Attending,
B1030708,11/11/2021,A1099291,Attending,Yes
B1030711,11/11/2021,A1099294,Attending,Yes
B1030722,11/11/2021,A1099305,Attending,Yes
B1030729,11/11/2021,A1099312,Attending,
B1030733,11/11/2021,A1099316,Attending,
B1030735,11/11/2021,A1099318,Attending,
B1030741,11/11/2021,A1099324,Attending,
B1030746,11/11/2021,A1099329,Attending,Yes
B1030803,11/11/2021,A1099386,Attending,Yes
B1030934,12/11/2021,A1099518,Attending,
B1030935,12/11/2021,A1099519,Attending,Yes
B1030937,12/11/2021,A1099521,Attending,Yes
B1030939,12/11/2021,A1099523,Attending,Yes
B1030942,12/11/2021,A1099526,Attending,Yes
B1030978,12/11/2021,A1099563,Attending,Yes
B1031008,12/11/2021,A1099593,Attending,
B1031008,12/11/2021,A1099594,Attending,
B1031011,12/11/2021,A1099597,Attending,
B1031052,12/11/2021,A1099638,Attending,Yes
B1031068,12/11/2021,A1099654,Attending,Yes
