D9,,,,
BookingReference,Created Date,Reference,Attendee Status,Attended
B744943,30/07/2019,A808039,Attending,No
B744945,30/07/2019,A808041,Attending,Yes
B744947,30/07/2019,A808043,Cancelled,
B744948,30/07/2019,A808044,Attending,Yes
B744951,30/07/2019,A808048,Attending,Yes
B744951,30/07/2019,A808049,Attending,No
B744951,30/07/2019,A808050,Attending,Yes
B744951,30/07/2019,A808051,Attending,No
B744953,30/07/2019,A808053,Attending,Yes
B744973,30/07/2019,A808074,Attending,No
B744974,30/07/2019,A808075,Attending,No
B744975,30/07/2019,A808076,Attending,No
B744976,30/07/2019,A808077,Attending,Yes
B744977,30/07/2019,A808078,Attending,No
B744978,30/07/2019,A808079,Attending,No
B744979,30/07/2019,A808080,Attending,No
B744980,30/07/2019,A808081,Attending,No
B744981,30/07/2019,A808082,Attending,No
B744982,30/07/2019,A808083,Cancelled,
B744983,30/07/2019,A808084,Attending,No
B744984,30/07/2019,A808085,Attending,No
B744985,30/07/2019,A808086,Cancelled,
B744986,30/07/2019,A808087,Cancelled,
B744987,30/07/2019,A808088,Attending,No
B744988,30/07/2019,A808089,Attending,No
B744989,30/07/2019,A808090,Attending,No
B744990,30/07/2019,A808091,Attending,No
B744991,30/07/2019,A808092,Cancelled,
B744992,30/07/2019,A808093,Attending,Yes
B744993,30/07/2019,A808094,Attending,No
B744994,30/07/2019,A808095,Attending,Yes
B744995,30/07/2019,A808096,Attending,No
B744996,30/07/2019,A808097,Attending,Yes
B744997,30/07/2019,A808098,Attending,No
B744998,30/07/2019,A808099,Attending,No
B744999,30/07/2019,A808100,Attending,No
B745000,30/07/2019,A808101,Attending,No
B745001,30/07/2019,A808102,Attending,Yes
B745003,30/07/2019,A808104,Cancelled,
B745004,30/07/2019,A808105,Attending,No
B745005,30/07/2019,A808106,Attending,Yes
B745006,30/07/2019,A808107,Attending,Yes
B745007,30/07/2019,A808108,Attending,No
B745008,30/07/2019,A808109,Attending,Yes
B745010,30/07/2019,A808111,Attending,No
B745011,30/07/2019,A808112,Attending,Yes
B745012,30/07/2019,A808113,Attending,Yes
B745013,30/07/2019,A808114,Attending,Yes
B745014,30/07/2019,A808115,Attending,No
B745015,30/07/2019,A808116,Attending,No
B745016,30/07/2019,A808117,Attending,No
B745017,30/07/2019,A808118,Attending,No
B745018,30/07/2019,A808119,Cancelled,
B745019,30/07/2019,A808120,Attending,No
B745020,30/07/2019,A808121,Attending,Yes
B745021,30/07/2019,A808122,Attending,Yes
B745022,30/07/2019,A808123,Attending,No
B745023,30/07/2019,A808124,Attending,No
B745024,30/07/2019,A808125,Attending,No
B745025,30/07/2019,A808126,Attending,No
B745026,30/07/2019,A808127,Attending,Yes
B745027,30/07/2019,A808128,Attending,Yes
B745028,30/07/2019,A808129,Attending,No
B745029,30/07/2019,A808130,Attending,Yes
B745030,30/07/2019,A808131,Attending,Yes
B745031,30/07/2019,A808132,Attending,Yes
B745032,30/07/2019,A808133,Attending,No
B745033,30/07/2019,A808134,Attending,No
B745034,30/07/2019,A808135,Attending,Yes
B745035,30/07/2019,A808136,Cancelled,
B745036,30/07/2019,A808137,Attending,Yes
B745037,30/07/2019,A808138,Attending,No
B745038,30/07/2019,A808139,Attending,Yes
B745039,30/07/2019,A808140,Attending,Yes
B745040,30/07/2019,A808141,Attending,No
B745041,30/07/2019,A808142,Cancelled,
B745042,30/07/2019,A808143,Cancelled,
B745043,30/07/2019,A808144,Attending,No
B745044,30/07/2019,A808145,Attending,No
B745045,30/07/2019,A808146,Attending,No
B745046,30/07/2019,A808147,Attending,No
B745047,30/07/2019,A808148,Attending,Yes
B745048,30/07/2019,A808149,Attending,Yes
B745049,30/07/2019,A808150,Attending,No
B745050,30/07/2019,A808151,Attending,No
B745051,30/07/2019,A808152,Attending,No
B745052,30/07/2019,A808153,Cancelled,
B745053,30/07/2019,A808154,Attending,No
B745054,30/07/2019,A808155,Attending,Yes
B745055,30/07/2019,A808156,Attending,No
B745056,30/07/2019,A808157,Attending,No
B745057,30/07/2019,A808158,Attending,No
B745058,30/07/2019,A808159,Attending,Yes
B745059,30/07/2019,A808160,Attending,Yes
B745060,30/07/2019,A808161,Attending,Yes
B745061,30/07/2019,A808162,Attending,No
B745062,30/07/2019,A808163,Attending,No
B745063,30/07/2019,A808164,Attending,Yes
B745064,30/07/2019,A808165,Attending,No
B745065,30/07/2019,A808166,Attending,Yes
B745066,30/07/2019,A808167,Attending,Yes
B745067,30/07/2019,A808168,Attending,Yes
B745068,30/07/2019,A808169,Cancelled,
B745127,31/07/2019,A808228,Attending,Yes
B745127,31/07/2019,A808232,Attending,Yes
B745128,31/07/2019,A808229,Attending,Yes
B745129,31/07/2019,A808230,Attending,Yes
B745129,31/07/2019,A808231,Attending,Yes
B745130,31/07/2019,A808233,Attending,No
B745130,31/07/2019,A808234,Attending,No
B745131,31/07/2019,A808235,Attending,No
B745135,31/07/2019,A808239,Attending,Yes
B745135,31/07/2019,A808240,Attending,Yes
B745135,31/07/2019,A808241,Attending,Yes
B745135,31/07/2019,A808242,Attending,Yes
B745136,31/07/2019,A808243,Attending,No
B745139,31/07/2019,A808246,Attending,No
B745140,31/07/2019,A808247,Attending,Yes
B745143,31/07/2019,A808250,Attending,Yes
B745143,31/07/2019,A808251,Attending,Yes
B745143,31/07/2019,A808252,Attending,Yes
B745145,31/07/2019,A808254,Attending,Yes
B745391,01/08/2019,A808512,Attending,Yes
B745403,01/08/2019,A808525,Attending,No
B745496,02/08/2019,A808621,Attending,No
B745715,05/08/2019,A808842,Attending,No
B745792,05/08/2019,A808948,Cancelled,
B745796,05/08/2019,A808952,Attending,Yes
B745797,05/08/2019,A808953,Attending,Yes
B745798,05/08/2019,A808954,Attending,Yes
B745875,06/08/2019,A809033,Attending,Yes
B745876,06/08/2019,A809034,Attending,Yes
B746097,07/08/2019,A809257,Attending,Yes
B746098,07/08/2019,A809258,Attending,Yes
B746099,07/08/2019,A809259,Attending,Yes
B746238,08/08/2019,A809398,Attending,Yes
B746240,08/08/2019,A809400,Attending,Yes
B746241,08/08/2019,A809401,Attending,Yes
B746241,08/08/2019,A809402,Attending,Yes
B746273,08/08/2019,A809437,Booker not attending,Yes
B746273,08/08/2019,A809438,Attending,Yes
B746445,09/08/2019,A809620,Attending,No
B746446,09/08/2019,A809621,Attending,No
B746447,09/08/2019,A809622,Attending,Yes
B746448,09/08/2019,A809623,Attending,No
